"lat"; "lon"; "s"; "alt"
51.649656;6.446577;61;7.585
51.649618;6.446609;63;9.101999
51.649578;6.446655;64;9.101999
51.64953;6.446728;64;9.101999
51.649468;6.446804;66;13.653
51.649429;6.446872;67;12.136
51.649477;6.447119;0;21.385
51.649353;6.44695;66;7.585
51.64931;6.447005;66;7.585
51.649265;6.447058;66;6.068
51.649227;6.447083;65;6.068
51.649193;6.447103;63;6.068
51.649142;6.447168;63;6.068
51.649087;6.447237;66;6.068
51.649049;6.44728;66;6.068
51.649007;6.447332;66;6.068
51.64898;6.447361;65;7.585
51.648933;6.447394;61;9.101999
51.648881;6.44744;61;9.101999
51.648831;6.447486;61;7.585
51.648784;6.447539;61;7.585
51.648745;6.447563;62;7.585
51.648677;6.447613;65;7.585
51.648629;6.447655;65;6.068
51.648578;6.447721;66;4.5509996
51.648529;6.447779;67;4.5509996
51.648473;6.447826;68;4.5509996
51.648428;6.447882;67;6.068
51.6484;6.447918;65;6.068
51.648363;6.447953;64;7.585
51.648323;6.448001;64;6.068
51.648279;6.448043;65;6.068
51.648239;6.448078;66;7.585
51.648197;6.448106;66;7.585
51.648164;6.44814;64;7.585
51.648138;6.44819;65;7.585
51.648091;6.448268;66;7.585
51.648035;6.448334;68;9.101999
51.647982;6.448388;68;9.101999
51.647938;6.448426;68;10.6189995
51.647874;6.448464;70;7.585
51.647821;6.448495;72;6.068
51.647757;6.44853;74;6.068
51.647721;6.448548;74;4.5509996
51.64768;6.448583;72;4.5509996
51.647629;6.448605;71;4.5509996
51.64758;6.448611;72;4.5509996
51.647523;6.448587;72;4.5509996
51.647473;6.448557;72;4.5509996
51.647422;6.448509;72;4.5509996
51.647381;6.448487;74;4.5509996
51.647331;6.448461;73;4.5509996
51.647286;6.448429;75;4.5509996
51.647235;6.448385;75;4.5509996
51.647191;6.448335;77;4.5509996
51.647143;6.448315;78;4.5509996
51.647088;6.448308;75;4.5509996
51.647059;6.448295;76;4.5509996
51.647016;6.448265;76;4.5509996
51.647009;6.448245;77;4.5509996
51.647008;6.448243;77;4.5509996
51.646981;6.448235;78;4.5509996
51.646933;6.448209;77;6.068
51.646885;6.448176;77;6.068
51.646846;6.448135;76;7.585
51.646818;6.448105;76;7.585
51.646768;6.448061;78;6.068
51.646725;6.448019;77;7.585
51.646666;6.44799;75;7.585
51.646615;6.447962;77;6.068
51.64656;6.44794;80;6.068
51.646517;6.447913;78;6.068
51.646515;6.447914;77;6.068
51.64651;6.447912;78;4.5509996
51.646532;6.447915;77;4.5509996
51.646548;6.447913;78;4.5509996
51.646553;6.447908;78;4.5509996
51.646552;6.447902;77;4.5509996
51.646549;6.447901;78;4.5509996
51.646548;6.447904;78;4.5509996
51.646548;6.447905;78;4.5509996
51.646539;6.447895;76;4.5509996
51.646523;6.447898;76;4.5509996
51.646499;6.447906;76;4.5509996
51.646485;6.447898;76;4.5509996
51.646484;6.447882;76;4.5509996
51.646481;6.447875;76;4.5509996
51.646471;6.447872;77;4.5509996
51.646452;6.447858;77;4.5509996
51.646422;6.447848;77;4.5509996
51.646385;6.447843;77;4.5509996
51.64634;6.44784;78;6.068
51.646294;6.447811;80;6.068
51.646262;6.447792;78;6.068
51.646239;6.447777;78;6.068
51.646208;6.447764;78;6.068
51.646172;6.447754;80;6.068
51.646137;6.447743;78;7.585
51.646103;6.447721;77;6.068
51.646061;6.447708;77;6.068
51.64603;6.447705;78;6.068
51.645991;6.447703;79;6.068
51.645976;6.447699;77;7.585
51.645948;6.447696;75;7.585
51.645935;6.447701;76;7.585
51.645921;6.447704;77;6.068
51.645909;6.447702;78;6.068
51.645906;6.4477;78;6.068
51.645887;6.447701;78;4.5509996
51.645845;6.447694;80;4.5509996
51.645812;6.447701;81;6.068
51.645795;6.447696;77;7.585
51.645773;6.447698;77;6.068
51.645738;6.447675;76;6.068
51.645714;6.447638;76;6.068
51.645675;6.447593;79;4.5509996
51.645624;6.447569;80;4.5509996
51.645589;6.447557;82;6.068
51.645541;6.447524;82;6.068
51.645504;6.447482;80;6.068
51.64547;6.44746;79;6.068
51.645426;6.447426;79;6.068
51.645389;6.447409;79;7.585
51.645356;6.447387;78;7.585
51.645323;6.447374;78;7.585
51.645299;6.447369;78;9.101999
51.645252;6.447363;78;7.585
51.645208;6.44736;79;9.101999
51.645169;6.447369;81;10.6189995
51.645129;6.447362;82;10.6189995
51.645077;6.447367;82;10.6189995
51.645026;6.447353;81;9.101999
51.644979;6.447333;80;12.136
51.644928;6.447317;82;10.6189995
51.644887;6.447319;84;10.6189995
51.644837;6.447319;86;10.6189995
51.644796;6.44731;87;10.6189995
51.644756;6.447322;89;10.6189995
51.644719;6.447305;87;10.6189995
51.644703;6.447302;89;12.136
51.644668;6.447307;93;10.6189995
51.644623;6.447339;95;9.101999
51.644583;6.447372;96;9.101999
51.64456;6.447383;96;7.585
51.644553;6.447386;97;7.585
51.64455;6.44739;100;9.101999
51.644545;6.447389;101;9.101999
51.644545;6.447393;102;9.101999
51.644544;6.447395;102;9.101999
51.644544;6.447395;102;9.101999
51.644544;6.447396;102;7.585
51.644543;6.447399;102;7.585
51.644543;6.4474;102;7.585
51.644542;6.447402;102;7.585
51.644543;6.447404;101;7.585
51.644553;6.4474;100;7.585
51.644558;6.447379;97;6.068
51.644561;6.447354;96;6.068
51.644568;6.447337;94;6.068
51.644557;6.447315;91;6.068
51.644541;6.447294;91;7.585
51.644514;6.447268;91;9.101999
51.644493;6.447235;90;9.101999
51.64446;6.447203;88;10.6189995
51.64443;6.447165;83;12.136
51.644406;6.44712;81;13.653
51.64436;6.447067;81;13.653
51.644326;6.447025;84;15.17
51.644284;6.447001;84;15.17
51.64424;6.446965;86;15.17
51.64419;6.446919;84;16.687
51.644163;6.446909;82;15.17
51.644139;6.446887;80;16.687
51.644105;6.44684;79;16.687
51.644065;6.446823;81;15.17
51.644024;6.446796;81;15.17
51.643983;6.446718;81;15.17
51.64394;6.446686;85;13.653
51.643906;6.446675;84;13.653
51.643842;6.446685;85;12.136
51.643782;6.446723;86;12.136
51.643714;6.446748;88;12.136
51.643647;6.446782;90;10.6189995
51.643564;6.446822;94;9.101999
51.643496;6.446843;96;9.101999
51.643429;6.446855;100;12.136
51.643383;6.446861;101;13.653
51.643312;6.44685;102;13.653
51.643238;6.44684;102;13.653
51.643171;6.44681;103;13.653
51.64311;6.446783;108;13.653
51.64305;6.446767;106;12.136
51.643008;6.44674;106;13.653
51.642945;6.446694;104;13.653
51.642887;6.446627;101;10.6189995
51.642832;6.446581;97;10.6189995
51.642785;6.44654;95;12.136
51.642707;6.446488;94;10.6189995
51.642629;6.446429;95;10.6189995
51.642594;6.446403;95;10.6189995
51.642558;6.446364;97;9.101999
51.642531;6.446359;97;12.136
51.642501;6.446302;96;12.136
51.642468;6.446209;91;10.6189995
51.642434;6.446103;91;12.136
51.642386;6.445967;92;12.136
51.642329;6.445849;92;12.136
51.642299;6.445763;93;10.6189995
51.64231;6.445694;92;12.136
51.642297;6.445603;80;12.136
51.642274;6.445484;86;13.653
51.642236;6.445354;89;12.136
51.642206;6.445253;92;13.653
51.64216;6.445092;93;12.136
51.642115;6.444969;93;10.6189995
51.642079;6.444888;95;9.101999
51.642023;6.444761;99;7.585
51.641991;6.444689;100;6.068
51.641954;6.4446;99;6.068
51.641921;6.444514;97;6.068
51.641895;6.444455;98;6.068
51.641855;6.444387;99;6.068
51.641827;6.444315;99;7.585
51.64181;6.444263;100;7.585
51.641796;6.444195;101;9.101999
51.641758;6.444105;104;7.585
51.64173;6.444029;105;10.6189995
51.641697;6.443969;104;9.101999
51.641643;6.443903;105;10.6189995
51.64161;6.443849;107;9.101999
51.641574;6.443782;111;10.6189995
51.641532;6.443705;113;10.6189995
51.64149;6.44363;112;7.585
51.641458;6.443555;112;9.101999
51.641431;6.443492;112;9.101999
51.641403;6.443474;112;9.101999
51.641366;6.443437;109;9.101999
51.641332;6.44333;109;9.101999
51.641281;6.443228;107;9.101999
51.641236;6.443139;103;9.101999
51.641185;6.443052;102;9.101999
51.641131;6.442943;102;7.585
51.641074;6.442851;102;10.6189995
51.641043;6.442801;101;7.585
51.641;6.442706;102;10.6189995
51.640975;6.442624;104;10.6189995
51.640938;6.442537;105;9.101999
51.64092;6.442485;104;9.101999
51.640886;6.442435;104;13.653
51.64083;6.442338;107;12.136
51.640784;6.442248;103;10.6189995
51.640723;6.442142;104;10.6189995
51.640682;6.44206;97;10.6189995
51.64066;6.442003;97;12.136
51.640615;6.441914;97;12.136
51.640567;6.441849;97;12.136
51.640522;6.441797;100;12.136
51.640484;6.441732;102;13.653
51.64044;6.441681;103;13.653
51.640379;6.441602;103;12.136
51.640333;6.441552;105;13.653
51.640303;6.44153;107;12.136
51.640271;6.441472;107;12.136
51.640216;6.441387;108;10.6189995
51.640168;6.441272;108;9.101999
51.640109;6.441169;108;9.101999
51.640056;6.441095;109;10.6189995
51.63998;6.441007;109;10.6189995
51.639907;6.440892;109;10.6189995
51.639845;6.440821;106;9.101999
51.639792;6.440732;108;7.585
51.639759;6.440672;108;7.585
51.63975;6.440643;104;9.101999
51.639705;6.440576;104;9.101999
51.639668;6.44052;105;9.101999
51.639596;6.440424;103;12.136
51.639522;6.440325;103;13.653
51.639463;6.440267;103;13.653
51.639426;6.440226;101;12.136
51.639355;6.440171;101;10.6189995
51.639313;6.44014;101;12.136
51.639264;6.440115;102;16.687
51.639227;6.440108;101;16.687
51.639179;6.440112;102;16.687
51.639104;6.4401;103;15.17
51.639048;6.44012;105;13.653
51.638995;6.44012;106;15.17
51.638968;6.440136;107;13.653
51.638935;6.440181;107;12.136
51.638921;6.440212;108;10.6189995
51.638929;6.440281;106;7.585
51.638915;6.440336;104;9.101999
51.638905;6.440398;103;10.6189995
51.638899;6.440474;99;12.136
51.638901;6.440573;97;12.136
51.638923;6.440684;96;15.17
51.638927;6.440801;97;16.687
51.638912;6.440951;100;15.17
51.638937;6.441072;101;16.687
51.638956;6.441178;101;19.720999
51.638989;6.441275;104;16.687
51.639018;6.441374;107;15.17
51.639043;6.441443;103;15.17
51.639067;6.441487;103;15.17
51.63909;6.441582;103;13.653
51.639082;6.441617;104;15.17
51.639035;6.441629;105;10.6189995
51.639007;6.441639;106;12.136
51.638974;6.441615;100;10.6189995
51.638933;6.441573;101;9.101999
51.638917;6.441578;101;9.101999
51.638877;6.441569;100;9.101999
51.638843;6.441511;101;10.6189995
51.638785;6.44144;101;12.136
51.63873;6.441387;100;12.136
51.638649;6.441294;103;10.6189995
51.638619;6.441264;103;10.6189995
51.63857;6.441241;100;13.653
51.63855;6.441233;102;15.17
51.638494;6.441205;98;13.653
51.638418;6.441155;99;12.136
51.638363;6.441124;99;12.136
51.638277;6.441121;97;13.653
51.638201;6.441125;96;13.653
51.63815;6.441128;92;12.136
51.638123;6.4411;91;10.6189995
51.638071;6.441035;91;12.136
51.638025;6.440969;91;13.653
51.637965;6.440946;90;12.136
51.637931;6.440952;89;10.6189995
51.637886;6.44095;90;12.136
51.637837;6.440961;91;12.136
51.637756;6.440963;91;9.101999
51.637719;6.440958;90;10.6189995
51.637685;6.44098;91;12.136
51.637631;6.441017;89;12.136
51.637573;6.44101;87;15.17
51.637482;6.441004;86;13.653
51.637409;6.441012;86;13.653
51.637313;6.441023;87;12.136
51.637275;6.441022;83;10.6189995
51.637235;6.440997;84;10.6189995
51.637174;6.441042;84;9.101999
51.637091;6.441117;84;12.136
51.636999;6.441185;87;10.6189995
51.636915;6.441234;89;10.6189995
51.636857;6.44127;89;12.136
51.6368;6.441316;90;12.136
51.63672;6.441389;90;18.203999
51.636663;6.441461;91;13.653
51.636623;6.441494;92;15.17
51.636579;6.441498;93;16.687
51.636535;6.441552;92;13.653
51.636512;6.441609;96;15.17
51.6365;6.441625;97;15.17
51.63648;6.441644;98;13.653
51.636458;6.441663;100;13.653
51.63642;6.441699;99;13.653
51.63636;6.44177;102;12.136
51.63631;6.441855;101;12.136
51.636289;6.441888;101;10.6189995
